[13:45:52.944][INFO] Build Start Time: 2019-05-29 13:45:52.941
[13:45:52.944][INFO] Execute build event handler 'PreprocessAllPlatforms'...
[13:45:53.536][INFO] Start prepare AssetBundle collection...
[13:45:54.087][INFO] Prepare AssetBundle collection complete.
[13:45:54.087][INFO] Start analyze assets dependency...
[13:45:54.232][INFO] Analyze assets dependency complete.
[13:45:54.232][INFO] Start prepare build map...
[13:45:54.376][INFO] Prepare build map complete.
[13:45:54.376][INFO] Start build AssetBundles for selected platforms...
[13:45:54.378][INFO] Start build AssetBundles for 'MacOS'...
[13:45:54.378][INFO] Working path is '/Users/wvkmind/MyCode/ZeroDown/trunk/client/AssetBundles/Working/MacOS/'.
[13:45:54.379][INFO] Output package is selected, path is '/Users/wvkmind/MyCode/ZeroDown/trunk/client/AssetBundles/Package/1_0_89/MacOS/'.
[13:45:54.379][INFO] Output full is selected, path is '/Users/wvkmind/MyCode/ZeroDown/trunk/client/AssetBundles/Full/1_0_89/MacOS/'.
[13:45:54.379][INFO] Output packed is selected, path is '/Users/wvkmind/MyCode/ZeroDown/trunk/client/AssetBundles/Packed/1_0_89/MacOS/'.
[13:45:54.466][INFO] Execute build event handler 'PreprocessPlatform' for 'MacOS'...
[13:45:54.466][INFO] Unity start build AssetBundles for 'MacOS'...
[13:46:05.192][INFO] Unity build AssetBundles for 'MacOS' complete.
[13:46:05.192][INFO] Start process 'gamescript/localization/default' for 'MacOS'...
[13:46:05.227][INFO] Process 'gamescript/localization/default' for 'MacOS' complete.
[13:46:05.227][INFO] Start process 'gamescript/utilsscript/configdata/asset/normal_table_tabledata' for 'MacOS'...
[13:46:05.232][INFO] Process 'gamescript/utilsscript/configdata/asset/normal_table_tabledata' for 'MacOS' complete.
[13:46:05.232][INFO] Start process 'prefab/characters/footsoldier' for 'MacOS'...
[13:46:05.267][INFO] Process 'prefab/characters/footsoldier' for 'MacOS' complete.
[13:46:05.267][INFO] Start process 'prefab/characters/footsoldierbase' for 'MacOS'...
[13:46:05.293][INFO] Process 'prefab/characters/footsoldierbase' for 'MacOS' complete.
[13:46:05.293][INFO] Start process 'prefab/characters/path' for 'MacOS'...
[13:46:05.298][INFO] Process 'prefab/characters/path' for 'MacOS' complete.
[13:46:05.298][INFO] Start process 'prefab/terrain/city' for 'MacOS'...
[13:46:05.308][INFO] Process 'prefab/terrain/city' for 'MacOS' complete.
[13:46:05.308][INFO] Start process 'prefab/terrain/ground' for 'MacOS'...
[13:46:05.315][INFO] Process 'prefab/terrain/ground' for 'MacOS' complete.
[13:46:05.315][INFO] Start process 'prefab/terrain/mountain' for 'MacOS'...
[13:46:05.323][INFO] Process 'prefab/terrain/mountain' for 'MacOS' complete.
[13:46:05.324][INFO] Start process 'prefab/terrain/water' for 'MacOS'...
[13:46:05.328][INFO] Process 'prefab/terrain/water' for 'MacOS' complete.
[13:46:05.328][INFO] Start process 'prefab/ui/createcharacter' for 'MacOS'...
[13:46:05.332][INFO] Process 'prefab/ui/createcharacter' for 'MacOS' complete.
[13:46:05.332][INFO] Start process 'prefab/ui/gameinfosettings' for 'MacOS'...
[13:46:05.337][INFO] Process 'prefab/ui/gameinfosettings' for 'MacOS' complete.
[13:46:05.337][INFO] Start process 'prefab/ui/loading' for 'MacOS'...
[13:46:05.339][INFO] Process 'prefab/ui/loading' for 'MacOS' complete.
[13:46:05.339][INFO] Start process 'prefab/ui/selectmode' for 'MacOS'...
[13:46:05.343][INFO] Process 'prefab/ui/selectmode' for 'MacOS' complete.
[13:46:05.344][INFO] Start process 'prefab/ui/startmenu' for 'MacOS'...
[13:46:05.348][INFO] Process 'prefab/ui/startmenu' for 'MacOS' complete.
[13:46:05.348][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_brick_01' for 'MacOS'...
[13:46:05.367][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_brick_01' for 'MacOS' complete.
[13:46:05.367][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_brick_02' for 'MacOS'...
[13:46:05.381][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_brick_02' for 'MacOS' complete.
[13:46:05.381][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_brick_03' for 'MacOS'...
[13:46:05.395][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_brick_03' for 'MacOS' complete.
[13:46:05.395][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_brick_04' for 'MacOS'...
[13:46:05.416][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_brick_04' for 'MacOS' complete.
[13:46:05.416][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_sandstone_01' for 'MacOS'...
[13:46:05.433][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_sandstone_01' for 'MacOS' complete.
[13:46:05.433][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_snow_01' for 'MacOS'...
[13:46:05.441][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_snow_01' for 'MacOS' complete.
[13:46:05.442][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_01' for 'MacOS'...
[13:46:05.457][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_01' for 'MacOS' complete.
[13:46:05.457][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_01_02' for 'MacOS'...
[13:46:05.472][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_01_02' for 'MacOS' complete.
[13:46:05.472][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_01_03' for 'MacOS'...
[13:46:05.484][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_01_03' for 'MacOS' complete.
[13:46:05.485][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_01_04' for 'MacOS'...
[13:46:05.495][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_01_04' for 'MacOS' complete.
[13:46:05.495][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_01_05' for 'MacOS'...
[13:46:05.508][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_01_05' for 'MacOS' complete.
[13:46:05.508][INFO] Start process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_02_01' for 'MacOS'...
[13:46:05.528][INFO] Process 'resources/goldenskullstudios/brick/iso_tile_brick_stone_02_01' for 'MacOS' complete.
[13:46:05.528][INFO] Start process 'resources/goldenskullstudios/dirt/iso_tile_dirt_01' for 'MacOS'...
[13:46:05.539][INFO] Process 'resources/goldenskullstudios/dirt/iso_tile_dirt_01' for 'MacOS' complete.
[13:46:05.539][INFO] Start process 'resources/goldenskullstudios/dirt/iso_tile_dirt_01_tosnow_01' for 'MacOS'...
[13:46:05.554][INFO] Process 'resources/goldenskullstudios/dirt/iso_tile_dirt_01_tosnow_01' for 'MacOS' complete.
[13:46:05.554][INFO] Start process 'resources/goldenskullstudios/dirt/iso_tile_dirt_01_tosnow_02' for 'MacOS'...
[13:46:05.572][INFO] Process 'resources/goldenskullstudios/dirt/iso_tile_dirt_01_tosnow_02' for 'MacOS' complete.
[13:46:05.572][INFO] Start process 'resources/goldenskullstudios/dirt/iso_tile_dirt_01_tostone_01' for 'MacOS'...
[13:46:05.585][INFO] Process 'resources/goldenskullstudios/dirt/iso_tile_dirt_01_tostone_01' for 'MacOS' complete.
[13:46:05.585][INFO] Start process 'resources/goldenskullstudios/dirt/iso_tile_dirt_01_tostone_02' for 'MacOS'...
[13:46:05.601][INFO] Process 'resources/goldenskullstudios/dirt/iso_tile_dirt_01_tostone_02' for 'MacOS' complete.
[13:46:05.601][INFO] Start process 'resources/goldenskullstudios/dirt/iso_tile_dirt_02' for 'MacOS'...
[13:46:05.609][INFO] Process 'resources/goldenskullstudios/dirt/iso_tile_dirt_02' for 'MacOS' complete.
[13:46:05.609][INFO] Start process 'resources/goldenskullstudios/dirt/iso_tile_dirt_02_tostone_01' for 'MacOS'...
[13:46:05.624][INFO] Process 'resources/goldenskullstudios/dirt/iso_tile_dirt_02_tostone_01' for 'MacOS' complete.
[13:46:05.624][INFO] Start process 'resources/goldenskullstudios/dirt/iso_tile_dirt_02_tostone_02' for 'MacOS'...
[13:46:05.651][INFO] Process 'resources/goldenskullstudios/dirt/iso_tile_dirt_02_tostone_02' for 'MacOS' complete.
[13:46:05.651][INFO] Start process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grass_01' for 'MacOS'...
[13:46:05.667][INFO] Process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grass_01' for 'MacOS' complete.
[13:46:05.667][INFO] Start process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grasspatch_01' for 'MacOS'...
[13:46:05.680][INFO] Process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grasspatch_01' for 'MacOS' complete.
[13:46:05.680][INFO] Start process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grasspatch_02' for 'MacOS'...
[13:46:05.693][INFO] Process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grasspatch_02' for 'MacOS' complete.
[13:46:05.693][INFO] Start process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grasspatch_03' for 'MacOS'...
[13:46:05.708][INFO] Process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grasspatch_03' for 'MacOS' complete.
[13:46:05.708][INFO] Start process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grasspath_3cross_01' for 'MacOS'...
[13:46:05.721][INFO] Process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grasspath_3cross_01' for 'MacOS' complete.
[13:46:05.721][INFO] Start process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grasspath_3cross_02' for 'MacOS'...
[13:46:05.734][INFO] Process 'resources/goldenskullstudios/grass/iso_tile_dirt_01_grasspath_3cross_02' for 'MacOS' complete.
